Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
694283807fc09f86105d50dd,5c60501d767686000100150c,APPROVED,Not Applicable,2025-12-17T10:18:40.177000Z,2025-12-17T10:40:15.466000Z,2025-12-17T10:40:18.334000Z,2025-12-17T10:40:15.921837Z,1296,C21HCJSF,4451,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6942846c97705eaebcba7642,54f4e2d1fdf99b4e913fdf01,APPROVED,Not Applicable,2025-12-17T10:22:39.197000Z,2025-12-17T10:45:30.726000Z,2025-12-17T10:45:32.834000Z,2025-12-17T10:45:31.062512Z,1372,C21HCJSF,1503,38,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69428477982cd2299be90a78,5bb7b83ab791890001f4fd90,APPROVED,Not Applicable,2025-12-17T10:22:47.729000Z,2025-12-17T11:28:33.547000Z,2025-12-17T11:28:34.456000Z,2025-12-17T11:28:34.379639Z,3946,C21HCJSF,7035,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
694285d790e1cd04797881b9,5db143c6711b3c00180fdea1,APPROVED,Not Applicable,2025-12-17T10:28:44.329000Z,2025-12-17T10:49:47.094000Z,2025-12-17T10:49:49.024000Z,2025-12-17T10:49:47.440382Z,1263,C21HCJSF,3396,46,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
694285e0acf934ac78205295,577a3dfd92c50c0001c9488f,APPROVED,Not Applicable,2025-12-17T10:28:56.019000Z,2025-12-17T10:50:12.623000Z,2025-12-17T10:50:14.876000Z,2025-12-17T10:50:13.112632Z,1277,C21HCJSF,4216,62,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
